Bar Name,Brand Name,Date,Daily Consumption (ml),Year,Month,Weekday,DayOfWeek,Rolling_7d
Anderson's Bar,Absolut,2023-01-02,118.62,2023,1,Monday,0,118.62
Anderson's Bar,Absolut,2023-01-05,463.2,2023,1,Thursday,3,290.90999999999997
Anderson's Bar,Absolut,2023-01-06,453.02,2023,1,Friday,4,344.94666666666666
Anderson's Bar,Absolut,2023-01-08,275.08,2023,1,Sunday,6,327.48
Anderson's Bar,Absolut,2023-01-11,0.0,2023,1,Wednesday,2,261.98400000000004
Anderson's Bar,Absolut,2023-02-01,0.0,2023,2,Wednesday,2,218.32000000000002
Anderson's Bar,Absolut,2023-02-04,0.0,2023,2,Saturday,5,187.1314285714286
Anderson's Bar,Absolut,2023-02-05,0.0,2023,2,Sunday,6,170.1857142857143
Anderson's Bar,Absolut,2023-03-02,190.59,2023,3,Thursday,3,131.24142857142857
Anderson's Bar,Absolut,2023-03-04,205.75,2023,3,Saturday,5,95.91714285714285
Anderson's Bar,Absolut,2023-03-07,289.73,2023,3,Tuesday,1,98.00999999999999
Anderson's Bar,Absolut,2023-04-04,304.12,2023,4,Tuesday,1,141.4557142857143
Anderson's Bar,Absolut,2023-04-06,207.09,2023,4,Thursday,3,171.04
Anderson's Bar,Absolut,2023-04-09,0.0,2023,4,Sunday,6,171.04
Anderson's Bar,Absolut,2023-04-11,255.3,2023,4,Tuesday,1,207.51142857142855
Anderson's Bar,Absolut,2023-04-12,301.09,2023,4,Wednesday,2,223.29714285714286
Anderson's Bar,Absolut,2023-05-07,278.64,2023,5,Sunday,6,233.71
Anderson's Bar,Absolut,2023-06-01,213.37,2023,6,Thursday,3,222.80142857142852
Anderson's Bar,Absolut,2023-06-04,315.68,2023,6,Sunday,6,224.4528571428571
Anderson's Bar,Absolut,2023-06-10,0.0,2023,6,Saturday,5,194.8685714285714
Anderson's Bar,Absolut,2023-06-11,0.0,2023,6,Sunday,6,194.8685714285714
Anderson's Bar,Absolut,2023-07-06,54.51,2023,7,Thursday,3,166.18428571428566
Anderson's Bar,Absolut,2023-08-04,0.0,2023,8,Friday,4,123.17142857142856
Anderson's Bar,Absolut,2023-09-05,0.0,2023,9,Tuesday,1,83.36571428571428
Anderson's Bar,Absolut,2023-09-10,0.0,2023,9,Sunday,6,52.884285714285696
Anderson's Bar,Absolut,2023-09-11,0.0,2023,9,Monday,0,7.7871428571428405
Anderson's Bar,Absolut,2023-10-05,189.66,2023,10,Thursday,3,34.88142857142855
Anderson's Bar,Absolut,2023-11-05,319.64,2023,11,Sunday,6,80.54428571428569
Anderson's Bar,Absolut,2023-11-07,248.98,2023,11,Tuesday,1,108.32571428571427
Anderson's Bar,Absolut,2023-11-10,445.86,2023,11,Friday,4,172.01999999999998
Anderson's Bar,Absolut,2023-12-06,480.21,2023,12,Wednesday,2,240.62142857142857
Anderson's Bar,Absolut,2023-12-07,504.45,2023,12,Thursday,3,312.68571428571425
Anderson's Bar,Absolut,2023-12-10,130.5,2023,12,Sunday,6,331.32857142857137
Anderson's Bar,Bacardi,2023-01-01,0.0,2023,1,Sunday,6,0.0
Anderson's Bar,Bacardi,2023-01-08,216.8,2023,1,Sunday,6,108.4
Anderson's Bar,Bacardi,2023-02-07,353.24,2023,2,Tuesday,1,190.01333333333332
Anderson's Bar,Bacardi,2023-02-11,381.35,2023,2,Saturday,5,237.84750000000003
Anderson's Bar,Bacardi,2023-03-03,455.46,2023,3,Friday,4,281.37
Anderson's Bar,Bacardi,2023-03-06,30.09,2023,3,Monday,0,239.49
Anderson's Bar,Bacardi,2023-03-07,314.67,2023,3,Tuesday,1,250.23000000000002
Anderson's Bar,Bacardi,2023-04-03,553.95,2023,4,Monday,0,329.36571428571426
Anderson's Bar,Bacardi,2023-04-09,372.82,2023,4,Sunday,6,351.6542857142857
Anderson's Bar,Bacardi,2023-04-12,352.44,2023,4,Wednesday,2,351.54
Anderson's Bar,Bacardi,2023-05-01,433.39,2023,5,Monday,0,358.9742857142857
Anderson's Bar,Bacardi,2023-05-11,269.97,2023,5,Thursday,3,332.4757142857143
Anderson's Bar,Bacardi,2023-06-02,448.82,2023,6,Friday,4,392.2942857142857
Anderson's Bar,Bacardi,2023-06-03,376.93,2023,6,Saturday,5,401.1885714285714
Anderson's Bar,Bacardi,2023-06-05,166.65,2023,6,Monday,0,345.86
Anderson's Bar,Bacardi,2023-06-06,548.22,2023,6,Tuesday,1,370.9171428571429
Anderson's Bar,Bacardi,2023-06-07,386.49,2023,6,Wednesday,2,375.78142857142853
Anderson's Bar,Bacardi,2023-06-11,410.94,2023,6,Sunday,6,372.57428571428574
Anderson's Bar,Bacardi,2023-07-02,446.78,2023,7,Sunday,6,397.8328571428572
Anderson's Bar,Bacardi,2023-08-01,276.62,2023,8,Tuesday,1,373.23285714285714
Anderson's Bar,Bacardi,2023-08-08,472.96,2023,8,Tuesday,1,386.95142857142855
Anderson's Bar,Bacardi,2023-08-09,149.47,2023,8,Wednesday,2,384.4971428571429
Anderson's Bar,Bacardi,2023-08-12,542.73,2023,8,Saturday,5,383.7128571428571
Anderson's Bar,Bacardi,2023-09-08,228.99,2023,9,Friday,4,361.21285714285716
Anderson's Bar,Bacardi,2023-09-12,528.83,2023,9,Tuesday,1,378.05428571428575
Anderson's Bar,Bacardi,2023-11-04,462.03,2023,11,Saturday,5,380.23285714285714
Anderson's Bar,Bacardi,2023-12-03,253.14,2023,12,Sunday,6,376.87857142857143
Anderson's Bar,Bacardi,2023-12-07,385.4,2023,12,Thursday,3,364.37
Anderson's Bar,Bacardi,2023-12-10,323.19,2023,12,Sunday,6,389.1871428571429
Anderson's Bar,Barefoot,2023-01-03,479.09,2023,1,Tuesday,1,479.09
Anderson's Bar,Barefoot,2023-02-04,443.64,2023,2,Saturday,5,461.365
Anderson's Bar,Barefoot,2023-03-01,102.19,2023,3,Wednesday,2,341.64000000000004
Anderson's Bar,Barefoot,2023-03-03,474.43,2023,3,Friday,4,374.8375
Anderson's Bar,Barefoot,2023-03-11,189.81,2023,3,Saturday,5,337.832
Anderson's Bar,Barefoot,2023-04-01,290.36,2023,4,Saturday,5,329.92
Anderson's Bar,Barefoot,2023-04-04,234.99,2023,4,Tuesday,1,316.35857142857145
Anderson's Bar,Barefoot,2023-04-06,538.0,2023,4,Thursday,3,324.7742857142857
Anderson's Bar,Barefoot,2023-04-12,505.81,2023,4,Wednesday,2,333.6557142857143
Anderson's Bar,Barefoot,2023-05-04,362.78,2023,5,Thursday,3,370.8828571428571
Anderson's Bar,Barefoot,2023-05-06,192.3,2023,5,Saturday,5,330.5785714285715
Anderson's Bar,Barefoot,2023-05-10,266.57,2023,5,Wednesday,2,341.5442857142857
Anderson's Bar,Barefoot,2023-06-01,101.78,2023,6,Thursday,3,314.6042857142857
Anderson's Bar,Barefoot,2023-06-02,227.93,2023,6,Friday,4,313.5957142857143
Anderson's Bar,Barefoot,2023-06-03,393.8,2023,6,Saturday,5,292.9957142857143
Anderson's Bar,Barefoot,2023-06-05,395.91,2023,6,Monday,0,277.2957142857143
Anderson's Bar,Barefoot,2023-06-09,122.14,2023,6,Friday,4,242.91857142857143
